,time,open,high,low,close,vol_,volume,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
0,1663206000,20139.2,20139.2,20093.4,20112.8,4.83705264,97217.638341136,0,0,0,0,0,0,0,0,0,0,0,0
1,1663206300,20112.5,20159.1,20112.5,20159.1,4.33803489,87398.382000243,0,0,0,0,0,0,0,0,0,0,0,0
2,1663206600,20158.4,20170.7,20149.4,20168.7,3.49818406,70541.595447582,0,0,0,0,0,0,0,0,0,0,0,0
3,1663206900,20166.5,20174.9,20152.3,20174.9,2.47966488,50006.424182237,0,0,0,0,0,0,0,0,0,0,0,0
4,1663207200,20174.9,20203.1,20169.5,20200.2,7.1326404,144069.25872089,0,0,0,0,0,0,0,0,0,0,0,0
5,1663207500,20191.8,20198.8,20168.0,20168.0,3.08027614,62193.978839009,0,0,0,0,0,0,0,0,0,0,0,0
6,1663207800,20169.0,20173.2,20132.5,20133.6,3.45041258,69538.326973256,0,0,0,0,0,0,0,0,0,0,0,0
7,1663208100,20137.1,20139.2,20124.7,20132.3,7.36273208,148248.315371375,0,0,0,0,0,0,0,0,0,0,0,0
8,1663208400,20133.8,20136.7,20063.7,20063.7,22.02926255,442626.747375768,0,0,0,0,0,0,0,0,0,0,0,0
9,1663208700,20063.6,20100.2,20025.7,20054.9,4.97812031,99986.833537784,0,0,0,0,0,0,0,0,0,0,0,0
10,1663209000,20058.9,20099.6,20053.8,20053.8,1.18815881,23864.887356782,0,0,0,0,0,0,0,0,0,0,0,0
11,1663209300,20056.4,20104.5,20042.9,20102.8,127.58828606,2559796.232692363,0,0,0,0,0,0,0,0,0,0,0,100
12,1663209600,20100.1,20103.1,20076.6,20080.0,2.56063841,51451.445503867,0,0,0,0,0,0,0,0,0,0,0,0
13,1663209900,20080.1,20080.1,20062.4,20068.3,2.95410741,59284.231493245,0,0,0,0,0,0,0,0,0,0,0,0
14,1663210200,20062.4,20070.6,20053.1,20059.7,3.1705394,63605.312526581,0,0,0,0,0,0,0,0,0,0,0,0
15,1663210500,20057.2,20080.0,20057.2,20075.8,9.06296325,181981.157592826,0,0,0,0,0,0,0,0,0,0,0,0
16,1663210800,20072.2,20107.5,20071.8,20096.2,9.88372737,198463.182553605,0,0,0,0,100,0,0,0,0,100,0,0
17,1663211100,20101.4,20103.6,19933.0,19964.4,14.90285918,298047.741508193,0,0,0,0,0,0,0,0,0,-100,0,0
18,1663211400,19971.0,20072.3,19938.2,20072.3,11.02335685,220508.614574181,0,0,0,0,0,0,0,0,0,0,0,100
19,1663211700,20077.9,20081.3,20022.2,20030.7,6.69911159,134399.426481412,0,0,0,0,0,0,0,0,0,-100,0,0
20,1663212000,20016.8,20038.7,19986.9,20032.7,3.5241051,70534.198854636,0,0,0,0,0,0,0,0,0,0,0,0
21,1663212300,20035.4,20077.4,20035.0,20058.7,5.93739592,119103.730412186,0,0,0,0,0,0,0,0,0,0,0,0
22,1663212600,20065.5,20073.7,20030.1,20047.2,7.02899354,140992.264924815,0,0,0,0,0,0,0,0,0,0,0,0
23,1663212900,20044.7,20050.0,19995.3,20006.4,20.17137155,403918.411500914,0,0,0,0,0,0,0,0,0,0,0,0
24,1663213200,20001.6,20030.1,19989.0,20027.0,0.78136317,15628.533313604,0,0,0,0,0,0,0,0,0,0,0,0
25,1663213500,20023.6,20036.7,20010.0,20017.8,11.57379274,231798.529271132,0,0,0,0,0,0,0,0,0,0,0,0
26,1663213800,20011.1,20056.6,20011.1,20021.7,4.26224739,85445.114671982,0,0,0,0,0,0,0,0,0,0,0,0
27,1663214100,20023.5,20031.1,20000.0,20007.2,1.87446482,37504.721616999,0,0,0,0,0,0,0,0,0,0,0,0
28,1663214400,20000.8,20030.0,20000.8,20026.5,3.98917983,79829.392147735,0,0,0,0,0,0,0,0,0,0,0,0
29,1663214700,20028.4,20073.7,20020.4,20069.7,1.53585639,30787.782906998,0,0,0,0,100,0,0,0,0,0,0,100
30,1663215000,20069.9,20081.0,20030.4,20030.4,4.18496342,84013.111548035,0,0,0,0,0,0,0,0,0,0,0,-100
31,1663215300,20029.3,20043.5,20002.3,20043.5,0.63477605,12710.748136547,0,0,0,0,0,0,0,0,0,0,0,0
32,1663215600,20040.5,20054.9,20024.0,20024.0,1.5619611,31289.374052782,0,0,0,0,0,0,0,0,0,0,0,0
33,1663215900,20024.1,20040.6,20024.1,20036.6,0.70977143,14221.710742833,0,0,0,0,0,0,0,0,0,0,0,0
34,1663216200,20031.8,20055.7,20031.8,20039.5,6.13728439,123013.027476109,0,0,0,0,0,0,0,0,0,0,0,0
35,1663216500,20034.3,20060.2,20027.7,20054.1,0.90546173,18154.460969697,0,0,0,0,0,0,0,0,0,0,0,0
36,1663216800,20055.6,20060.8,20000.0,20000.0,2.4106673,48254.496001573,0,0,0,100,0,0,0,0,0,0,0,-100
37,1663217100,19995.0,20013.8,19975.0,20008.3,8.59330779,171742.068880979,0,0,0,0,0,0,0,0,0,0,0,0
38,1663217400,20011.6,20057.3,20008.3,20045.1,4.53472145,90914.526684197,0,0,0,0,0,0,0,0,0,100,0,0
39,1663217700,20055.4,20062.1,20049.1,20057.6,2.05887603,41296.522598787,0,0,0,0,0,0,0,0,0,0,0,0
40,1663218000,20056.3,20061.5,20036.0,20036.0,0.49216056,9865.550654719,0,0,0,0,0,0,0,0,0,0,0,0
41,1663218300,20035.9,20046.3,20022.5,20039.7,1.394877,27949.179997356,0,0,0,0,0,0,0,0,0,0,0,0
42,1663218600,20041.2,20063.8,20035.2,20063.8,0.44363576,8894.468108337,0,0,0,0,0,0,0,0,0,0,0,100
43,1663218900,20062.6,20065.0,20022.2,20023.8,4.521178,90661.692642349,0,0,0,0,0,0,0,0,0,-100,0,-100
44,1663219200,20032.9,20063.0,20032.9,20058.5,0.43442792,8706.683980891,0,0,0,0,0,0,0,0,0,100,0,0
45,1663219500,20055.7,20081.0,20055.7,20081.0,1.12405251,22564.128254373,0,0,0,0,0,0,0,0,0,100,0,100
46,1663219800,20081.0,20111.8,20081.0,20106.9,15.95805505,320660.331278972,0,0,0,0,0,0,0,0,0,100,0,0
47,1663220100,20106.9,20185.0,20106.9,20169.2,7.2835572,146832.217948234,0,0,0,0,0,0,0,0,0,100,0,0
48,1663220400,20169.2,20172.3,20132.8,20137.4,0.31313667,6313.026676969,0,0,0,0,0,0,0,0,0,-100,0,0
49,1663220700,20137.5,20151.9,20119.2,20119.2,2.71645975,54703.153218466,0,0,0,0,0,0,0,0,0,0,0,0
50,1663221000,20104.8,20145.8,20085.2,20142.0,3.56999518,71836.014047443,0,0,0,0,0,0,0,0,0,0,0,0
51,1663221300,20145.9,20156.4,20111.4,20120.6,0.52070252,10479.544726086,0,0,0,0,0,0,0,0,0,0,0,0
52,1663221600,20134.9,20148.8,20119.0,20147.2,0.92964309,18718.791306308,0,0,0,0,0,0,0,0,0,0,0,0
53,1663221900,20149.2,20158.3,20118.1,20137.6,3.58898976,72243.784672463,0,0,0,0,0,0,0,0,0,0,0,0
54,1663222200,20141.1,20142.5,20119.5,20126.4,1.13700023,22882.273298835,0,0,0,0,0,0,0,0,0,0,0,0
55,1663222500,20127.0,20127.0,20000.0,20046.6,9.63671013,193148.878796382,0,0,0,0,0,0,0,0,0,-100,0,0
