,time,open,high,low,close,vol_,volume,btc_RSI,btc_MACD,btc_macsignal,btc_macdhist,btc_ADX,btc_Aroon,btc_Trendmode,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
10,1663273200,19837.1,19846.1,19812.5,19813.0,13.64120872,270492.24029512,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-100
11,1663273500,19813.0,19829.9,19807.4,19821.6,30.02196709,594913.797183806,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1663273800,19821.6,19826.1,19813.0,19824.9,1.10539981,21908.440042258,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1663274100,19824.1,19824.1,19769.4,19775.0,9.12650326,180655.454873663,,,,,,,0,0,0,0,0,0,0,0,0,0,-100,0,0
14,1663274400,19772.0,19776.0,19758.1,19772.9,4.1861318,82732.369792638,63.060897435897466,,,,,64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1663274700,19773.1,19795.3,19762.8,19789.8,2.33759122,46233.981087313,65.5713218820012,,,,,57.142857142857146,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1663275000,19792.9,19796.9,19778.9,19787.7,1.24614174,24659.71886609,64.98035901186354,,,,,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1663275300,19787.8,19814.4,19787.8,19814.4,1.19311076,23625.633609884,68.82715651416977,,,,,-35.714285714285715,0,0,0,0,0,0,0,0,0,0,100,0,100
18,1663275600,19812.4,19851.4,19812.4,19850.6,8.99732244,178454.148442319,73.13582547969101,,,,,28.571428571428573,0,0,0,0,0,0,0,0,0,0,100,0,100
19,1663275900,19847.2,19847.2,19819.8,19828.5,2.69174825,53389.216302853,67.04338841254656,,,,,28.571428571428573,0,0,0,0,0,0,0,0,0,0,-100,0,0
20,1663276200,19828.3,19842.3,19826.4,19833.7,1.61184064,31965.240203073,67.72467104033913,,,,,28.571428571428573,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1663276500,19833.1,19856.9,19830.5,19855.1,5.87539474,116615.663134646,70.43348975852564,,,,,50.0,0,0,0,0,0,0,0,0,0,0,100,0,100
22,1663276800,19853.2,19872.2,19848.3,19864.7,1.68937008,33552.580536072,71.58558944554288,,,,,57.142857142857146,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1663277100,19867.8,19876.2,19859.9,19862.0,2.33297436,46354.742615151,70.75056893670649,,,,,64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1663277400,19865.4,19891.4,19863.6,19888.5,2.81329693,55932.017445629,73.9609952801827,,,,,71.42857142857143,0,0,0,0,0,0,0,0,0,0,100,0,0
25,1663277700,19889.0,19889.0,19845.5,19848.4,2.1030569,41765.256263694,62.739088114950206,,,,,71.42857142857143,0,0,0,0,0,0,0,0,0,0,-100,0,0
26,1663278000,19850.2,19875.6,19850.2,19873.1,2.29685246,45637.581795201,66.14635836605986,,,,,71.42857142857143,0,0,0,0,0,0,0,0,0,0,100,0,100
27,1663278300,19870.9,19871.1,19849.7,19860.3,1.05171007,20887.442705432,62.934618194084415,,,,31.105735996042537,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1663278600,19858.7,19859.7,19787.6,19799.2,3.76280396,74579.171270665,50.36367645467309,,,,29.184013065745496,71.42857142857143,0,0,0,-100,0,0,0,0,0,0,-100,0,0
29,1663278900,19796.3,19825.0,19787.5,19824.9,8.14805223,161458.399856139,54.48215233001385,,,,27.403002939964725,64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,100
30,1663279200,19825.0,19825.0,19810.0,19825.0,2.68347312,53193.499891922,54.4979727943269,,,,25.749207823168295,57.142857142857146,0,0,0,0,0,0,0,0,0,0,0,0,0
